period,c,vc,f4,f5
0.01,-0.6037,1500.20,-0.1483,-0.00701
0.02,-0.5739,1500.36,-0.1471,-0.00728
0.03,-0.5341,1502.95,-0.1549,-0.00735
0.04,-0.4906,1503.35,-0.1678,-0.00698
0.05,-0.4580,1501.42,-0.1963,-0.00647
0.075,-0.4441,1494.00,-0.2287,-0.00573
0.1,-0.4872,1479.12,-0.2492,-0.00560
0.15,-0.5796,1442.85,-0.2571,-0.00585
0.2,-0.6876,1392.61,-0.2466,-0.00614
0.25,-0.7718,1356.21,-0.2357,-0.00644
0.3,-0.8417,1308.47,-0.2191,-0.00670
0.4,-0.9109,1252.66,-0.1958,-0.00713
0.5,-0.9693,1203.91,-0.1704,-0.00744
0.75,-1.0154,1147.59,-0.1387,-0.00812
1.0,-1.0500,1109.95,-0.1052,-0.00844
1.5,-1.0454,1072.39,-0.0679,-0.00771
2.0,-1.0392,1009.49,-0.0361,-0.00479
3.0,-1.0112,922.43,-0.0136,-0.00183
4.0,-0.9694,844.48,-0.0032,-0.00152
5.0,-0.9195,793.13,-0.0003,-0.00144
7.5,-0.7766,771.01,-0.0001,-0.00137
10.0,-0.6558,775.00,0.0000,-0.00136
